Year,Location,Variant,Fuel,KM driven,count,mean
2000,Nagpur,lxi,petrol,80000,1,90000.0
2000,Thane,zxi,diesel,100000,1,19786.0
2001,Jalgaon,ax minor,lpg,190000,1,90000.0
2002,Nagpur,lxi,petrol,109000,1,80000.0
2003,Aurangabad,lxi,lpg,100000,1,65000.0
2003,Nagpur,vxi,petrol,120000,1,70000.0
2003,Pune,vxi,petrol,80000,1,67000.0
2003,Satara,lxi,petrol,80000,1,80000.0
2004,Amravati,ax minor,petrol,96000,1,55000.0
2004,Amravati,lxi,petrol,10000,1,85000.0
2004,Aurangabad,vxi,petrol,60000,1,60000.0
2004,Mumbai,vxi,petrol,100000,1,65000.0
2004,Nagpur,vxi,petrol,62000,1,80000.0
2004,Nashik,vxi,petrol,86000,1,75000.0
2004,Ratnagiri,vxi,petrol,125000,1,130000.0
2005,Ahmednagar,lxi,petrol,88000,1,90000.0
2005,Aurangabad,ax minor,petrol,5000,1,72000.0
2005,Aurangabad,lxi,petrol,100000,1,50000.0
2005,Mumbai,lxi,cng,50000,1,77000.0
2005,Mumbai,vxi,petrol,850000,1,80000.0
2005,Nashik,lxi,petrol,80000,1,80000.0
2005,Pune,lxi,petrol,100000,1,75000.0
2005,Pune,vxi,petrol,75000,1,145000.0
2005,Thane,ax minor,cng,100000,1,30000.0
2005,Thane,lxi,petrol,69000,1,104000.0
2006,Akola,ax minor,petrol,40000,1,70000.0
2006,Amravati,lxi,petrol,80000,1,110000.0
2006,Jalgaon,lxi,petrol,153000,1,111000.0
2006,Jalna,vxi,petrol,80000,1,75000.0
2006,Kolhapur,lxi,petrol,120000,1,100000.0
2006,Latur,vxi,petrol,50000,1,100000.0
2006,Mumbai,vxi,petrol,55000,1,60000.0
2006,Mumbai,vxi,petrol,84000,1,79000.0
2006,Nagpur,lxi,petrol,64000,1,95000.0
2006,Nagpur,lxi,petrol,69000,1,90000.0
2006,Nagpur,lxi,petrol,90000,1,60000.0
2006,Nanded,vxi,petrol,140000,1,80000.0
2006,Nashik,lx minor,petrol,153000,2,99000.0
2006,Nashik,lxi,petrol,88000,1,120000.0
2006,Pune,lxi,cng,68000,1,150000.0
2006,Pune,lxi,petrol,48000,1,140000.0
2006,Pune,lxi,petrol,90000,1,80000.0
2006,Raigad,vxi,petrol,60000,1,60000.0
2006,Ratnagiri,ax minor,petrol,93000,1,150000.0
2006,Thane,vxi,cng,75000,1,75000.0
2006,Wardha,ax minor,petrol,115000,1,100000.0
2006,Wardha,lxi,petrol,80000,1,100000.0
2007,Ahmednagar,lxi,petrol,220000,1,122000.0
2007,Ahmednagar,vxi,lpg,125000,1,87000.0
2007,Amravati,lx minor,lpg,83000,1,95000.0
2007,Amravati,zxi,petrol,1000,1,65000.0
2007,Aurangabad,lxi,cng,1000,1,96000.0
2007,Aurangabad,lxi,lpg,83000,1,80000.0
2007,Aurangabad,vxi,petrol,90000,1,95000.0
2007,Jalgaon,lxi,lpg,66000,1,110000.0
