,Variant,Year,Fuel,KM driven,No. of Owners,Location,Price
0,lxi,2013,petrol,65000,2,Mumbai,315000
1,lxi,2012,petrol,40000,1,Kolhapur,295000
2,vxi,2023,cng,22000,1,Thane,645000
3,lxi,2012,cng,121000,2,Pune,285000
4,lxi,2015,cng,90000,1,Pune,375000
5,lxi,2016,cng,44000,2,Pune,400000
6,vxi,2013,petrol,68000,1,Nashik,341000
8,lxi,2025,cng,1000,1,Mumbai,110000
9,vxi,2016,petrol,22000,1,Pune,395000
10,vxi,2025,cng,1000,1,Mumbai,115000
11,vxi,2013,lpg,72000,1,Kolhapur,315000
12,lxi,2012,cng,65000,1,Thane,275000
13,lxi,2014,petrol,44000,1,Pune,295000
14,vxi,2025,cng,8000,1,Pune,650000
15,lxi,2013,petrol,75000,1,Nashik,290000
16,vxi,2015,petrol,52000,1,Thane,295000
17,vxi,2014,petrol,76000,1,Kolhapur,375000
18,vxi,2021,petrol,38000,1,Mumbai,539000
19,vxi,2020,petrol,30000,1,Nagpur,500000
20,vxi,2012,petrol,55000,1,Nagpur,240000
21,vxi,2018,petrol,65000,1,Kolhapur,440000
22,lxi,2015,cng,65000,3,Sangli,365000
23,vxi,2018,petrol,51000,1,Nagpur,390000
24,vxi,2013,petrol,1000,1,Kolhapur,355000
25,lxi,2021,cng,86000,1,Kolhapur,620000
26,zxi,2025,cng,1000,1,Mumbai,80000
27,lxi,2013,petrol,41000,1,Nagpur,270000
28,vxi,2019,petrol,44000,1,Nagpur,490000
29,vxi,2016,cng,56000,1,Pune,425000
30,vxi,2016,cng,56000,1,Pune,425000
31,vxi,2016,cng,56000,1,Pune,425000
32,zxi,2023,petrol,13000,1,Aurangabad,635000
33,lxi,2025,cng,1000,1,Mumbai,110000
34,vxi,2004,petrol,86000,5,Nashik,75000
35,vxi,2017,petrol,71000,2,Nagpur,390000
36,lxi,2021,cng,79000,1,Mumbai,565000
37,lxi,2020,cng,48000,2,Thane,490000
38,lxi,2019,cng,85000,2,Kolhapur,525000
39,vxi,2019,petrol,110000,1,Kolhapur,511000
40,zxi,2019,petrol,10000,2,Kolhapur,545000
41,lxi,2021,cng,79000,1,Mumbai,565000
42,lxi,2017,cng,132000,1,Kolhapur,380000
43,vxi,2025,cng,1000,1,Mumbai,110000
44,lxi,2015,cng,85000,2,Kolhapur,365000
45,vxi,2014,petrol,49000,1,Mumbai,269000
46,lxi,2011,cng,70000,4,Mumbai,140000
47,lxi,2007,lpg,83000,2,Sangli,100000
48,vxi,2022,petrol,12000,1,Kolhapur,625000
